ganancia,ganancia_normalizada,auc,type,semilla,tiempo,cp,ms,mb,md
1057500,3525000,0.783998271280571,test,999979,9.62116193771362,0,20,1,4
2303750,3291071.42857143,0.801941494052444,train,999979,9.62116193771362,0,20,1,4
373750,1245833.33333333,0.697817559095206,test,899971,9.46186399459839,0,20,1,4
2820000,4028571.42857143,0.731661128884755,train,899971,9.46186399459839,0,20,1,4
1232500,4108333.33333333,0.827166001410219,test,799949,10.2617080211639,0,20,1,4
1067500,1525000,0.794586798835017,train,799949,10.2617080211639,0,20,1,4
1106250,3687500,0.759472554374057,test,699863,9.05546283721924,0,20,1,4
1202500,1717857.14285714,0.7133931216839,train,699863,9.05546283721924,0,20,1,4
687500,2291666.66666667,0.804209662110812,test,599803,10.7874929904938,0,20,1,4
2731250,3901785.71428571,0.802130640197287,train,599803,10.7874929904938,0,20,1,4
1057500,3525000,0.783998271280571,test,999979,11.1880440711975,0,20,1,5
2303750,3291071.42857143,0.801962012455764,train,999979,11.1880440711975,0,20,1,5
368750,1229166.66666667,0.785526366401299,test,899971,10.2063908576965,0,20,1,5
3061250,4373214.28571429,0.830031552694815,train,899971,10.2063908576965,0,20,1,5
1398750,4662500,0.829095161398597,test,799949,10.618921995163,0,20,1,5
2240000,3200000,0.796057820871771,train,799949,10.618921995163,0,20,1,5
1100000,3666666.66666667,0.847189599802432,test,699863,10.3400678634644,0,20,1,5
1298750,1855357.14285714,0.820642524238913,train,699863,10.3400678634644,0,20,1,5
687500,2291666.66666667,0.804209662110812,test,599803,10.4155888557434,0,20,1,5
2731250,3901785.71428571,0.802150109969445,train,599803,10.4155888557434,0,20,1,5
1057500,3525000,0.783998271280571,test,999979,12.2233180999756,0,20,1,6
2303750,3291071.42857143,0.801962012455764,train,999979,12.2233180999756,0,20,1,6
482500,1608333.33333333,0.784717039793377,test,899971,12.2125289440155,0,20,1,6
3946250,5637500,0.832247977650317,train,899971,12.2125289440155,0,20,1,6
1398750,4662500,0.832612257737955,test,799949,13.3726961612701,0,20,1,6
2288750,3269642.85714286,0.800465918601234,train,799949,13.3726961612701,0,20,1,6
1511250,5037500,0.849145066657128,test,699863,13.2832570075989,0,20,1,6
2326250,3323214.28571429,0.822715359624748,train,699863,13.2832570075989,0,20,1,6
687500,2291666.66666667,0.804208038986347,test,599803,12.260745048523,0,20,1,6
2731250,3901785.71428571,0.802169579741604,train,599803,12.260745048523,0,20,1,6
1028750,3429166.66666667,0.783794155722929,test,999979,14.1408720016479,0,20,1,7
3302500,4717857.14285714,0.80722701007397,train,999979,14.1408720016479,0,20,1,7
481250,1604166.66666667,0.78650618232796,test,899971,14.0412740707397,0,20,1,7
3995000,5707142.85714286,0.833535063052117,train,899971,14.0412740707397,0,20,1,7
1360000,4533333.33333333,0.832412092804009,test,799949,14.2975759506226,0,20,1,7
2517500,3596428.57142857,0.801423918870805,train,799949,14.2975759506226,0,20,1,7
1511250,5037500,0.849145066657128,test,699863,13.9489941596985,0,20,1,7
2326250,3323214.28571429,0.822752409389912,train,699863,13.9489941596985,0,20,1,7
687500,2291666.66666667,0.804208038986347,test,599803,13.869343996048,0,20,1,7
2731250,3901785.71428571,0.802169579741604,train,599803,13.869343996048,0,20,1,7
1026250,3420833.33333333,0.788824249062998,test,999979,15.5263228416443,0,20,1,8
3495000,4992857.14285714,0.812394860706902,train,999979,15.5263228416443,0,20,1,8
422500,1408333.33333333,0.77997466823336,test,899971,15.9649751186371,0,20,1,8
4866250,6951785.71428571,0.841683572058984,train,899971,15.9649751186371,0,20,1,8
1423750,4745833.33333333,0.863276539493742,test,799949,15.8360362052917,0,20,1,8
3206250,4580357.14285714,0.85792248356952,train,799949,15.8360362052917,0,20,1,8
1511250,5037500,0.849145066657128,test,699863,15.4720721244812,0,20,1,8
2326250,3323214.28571429,0.822752409389912,train,699863,15.4720721244812,0,20,1,8
865000,2883333.33333333,0.807738824696188,test,599803,15.3870768547058,0,20,1,8
3761250,5373214.28571429,0.807927400359908,train,599803,15.3870768547058,0,20,1,8
987500,3291666.66666667,0.811827107722055,test,999979,16.6190528869629,0,20,1,9
3975000,5678571.42857143,0.851119115998772,train,999979,16.6190528869629,0,20,1,9
408750,1362500,0.782514521145208,test,899971,17.5121858119965,0,20,1,9
5127500,7325000,0.844444382386415,train,899971,17.5121858119965,0,20,1,9
1390000,4633333.33333333,0.870466643996007,test,799949,17.551796913147,0,20,1,9
3762500,5375000,0.875601378755953,train,799949,17.551796913147,0,20,1,9
1253750,4179166.66666667,0.850944774813224,test,699863,17.5982098579407,0,20,1,9
3281250,4687500,0.825828252070475,train,699863,17.5982098579407,0,20,1,9
810000,2700000,0.803000955009685,test,599803,16.9722020626068,0,20,1,9
4033750,5762500,0.809335745656048,train,599803,16.9722020626068,0,20,1,9
957500,3191666.66666667,0.811712999009711,test,999979,18.6177051067352,0,20,1,10
4081250,5830357.14285714,0.852524758406035,train,999979,18.6177051067352,0,20,1,10
382500,1275000,0.806554617586976,test,899971,19.4402670860291,0,20,1,10
5481250,7830357.14285714,0.886976150134733,train,899971,19.4402670860291,0,20,1,10
1371250,4570833.33333333,0.870433967131791,test,799949,19.3430631160736,0,20,1,10
4018750,5741071.42857143,0.87723316099669,train,799949,19.3430631160736,0,20,1,10
1723750,5745833.33333333,0.887464095261849,test,699863,19.4093401432037,0,20,1,10
4233750,6048214.28571429,0.873520154320824,train,699863,19.4093401432037,0,20,1,10
840000,2800000,0.850996531046145,test,599803,19.0217549800873,0,20,1,10
4531250,6473214.28571429,0.880889283637772,train,599803,19.0217549800873,0,20,1,10
923750,3079166.66666667,0.847657855897908,test,999979,22.59783411026,0,20,1,12
4663750,6662500,0.879698150791097,train,999979,22.59783411026,0,20,1,12
392500,1308333.33333333,0.81616072754196,test,899971,22.7670729160309,0,20,1,12
6360000,9085714.28571429,0.903911128430535,train,899971,22.7670729160309,0,20,1,12
1622500,5408333.33333333,0.871031093184739,test,799949,22.8775429725647,0,20,1,12
5352500,7646428.57142857,0.888317203591617,train,799949,22.8775429725647,0,20,1,12
1672500,5575000,0.89088221163387,test,699863,23.1404349803925,0,20,1,12
4942500,7060714.28571429,0.890356583718035,train,699863,23.1404349803925,0,20,1,12
942500,3141666.66666667,0.851604988345354,test,599803,22.5595438480377,0,20,1,12
5746250,8208928.57142857,0.891596093789481,train,599803,22.5595438480377,0,20,1,12
1017500,3391666.66666667,0.832573517125739,test,999979,28.0959320068359,0,20,1,15
6740000,9628571.42857143,0.909631074958645,train,999979,28.0959320068359,0,20,1,15
423750,1412500,0.815139935378821,test,899971,27.9123630523682,0,20,1,15
7362500,10517857.1428571,0.924064479130098,train,899971,27.9123630523682,0,20,1,15
1395000,4650000,0.866042466080986,test,799949,28.7169399261475,0,20,1,15
7277500,10396428.5714286,0.916667423699858,train,799949,28.7169399261475,0,20,1,15
1662500,5541666.66666667,0.887029557280246,test,699863,28.6676959991455,0,20,1,15
7155000,10221428.5714286,0.911931648359137,train,699863,28.6676959991455,0,20,1,15
811250,2704166.66666667,0.805204147407631,test,599803,28.4677240848541,0,20,1,15
7541250,10773214.2857143,0.917159125169303,train,599803,28.4677240848541,0,20,1,15
